,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Dominican Republic,8.0,4.3,1.7,4.6,1.3,-2.1,3.5,10.1,2.2,4.4,-5.5,0.9,11.2,7.4,2.6,5.7,6.0,8.9,6.7,5.9,4.7,2.5,4.5,-1.3,2.6,9.4,9.2,7.4,3.2,0.9,8.3,3.1,2.7,4.9,7.1,6.9,6.7,4.7,7.0,5.1,-6.7,12.3,4.9,4.2,4.593181818181819,4.593181818181819,4.593181818181819,4.593181818181819,4.593181818181819
Ecuador,4.9,3.9,1.2,-2.8,4.2,4.4,3.1,-6.0,10.5,0.3,3.0,5.1,3.6,2.0,4.3,2.3,1.7,4.3,3.3,-4.7,1.1,4.0,4.1,2.7,8.2,5.3,4.4,2.2,6.4,0.6,3.5,7.9,5.6,4.9,3.8,0.1,-1.2,2.4,1.3,0.0,-7.8,4.2,3.0,2.9,-1.5192274629364482,2.966975101238064,2.151211688389708,1.7083508413897504,0.6683555620538697
Egypt,3.4,2.2,7.3,8.9,8.0,7.4,4.8,4.3,4.0,3.0,2.3,2.1,0.3,2.9,4.2,4.5,4.9,5.9,7.5,6.1,5.4,3.5,3.2,3.2,4.1,4.5,6.8,7.1,7.2,4.7,5.1,1.8,2.2,3.3,3.3,4.4,4.5,2.4,5.3,5.5,3.5,3.3,6.6,3.7,4.009172449237312,4.191641131176391,4.299331256770437,4.362888262976759,4.400398601233193
El Salvador,-8.6,-5.7,-6.3,1.5,1.3,0.6,0.2,2.5,1.9,1.0,4.8,1.5,7.0,5.8,4.7,4.7,0.8,3.1,2.7,2.2,1.1,0.9,1.6,1.6,0.9,2.7,4.3,1.9,2.1,-2.1,2.1,3.8,2.8,2.2,1.7,2.4,2.5,2.3,2.4,2.4,-8.2,10.3,2.8,2.4,2.0624760860326283,1.8873875097008175,1.7271626254959151,1.5805396186937852,1.4463637930698172
Equatorial Guinea,4.8,5.8,2.2,5.0,1.0,12.9,-2.3,4.4,2.7,-1.2,2.5,-1.2,33.0,10.5,16.8,26.5,52.7,148.0,24.8,26.4,110.5,60.0,19.6,14.5,30.4,8.2,6.5,15.3,17.8,1.3,-8.9,6.5,8.3,-4.1,0.4,-9.1,-8.8,-5.7,-6.2,-5.5,-4.2,-3.2,1.6,-1.8,-1.9722560234650703,-1.9722560234650703,-1.9722560234650703,-1.9722560234650703,-1.9722560234650703
Eritrea,2.45,2.5,1.8,1.4,3.7,4.3,3.1,2.7,4.4,3.8,3.2,2.1,1.6,12.9,20.9,2.3,9.1,7.9,2.0,0.2,-12.4,8.8,3.0,-2.7,1.5,2.6,-1.0,1.4,-19.4,12.2,10.9,25.7,1.9,-10.5,30.9,-20.6,7.4,-10.0,13.0,3.8,-0.5,2.9,2.6,2.8,2.343944924700824,1.7238765103997564,2.6565622882596007,2.3188862619659467,2.5099600542789355
Estonia,3.3,2.9,3.9,3.0,4.6,-0.1,2.4,4.1,-0.1,-0.5,-5.6,-11.350000000000001,-8.8,-8.0,-1.6,2.2,4.9,13.0,4.3,-0.4,10.1,6.0,6.8,7.6,6.8,9.5,9.8,7.6,-5.1,-14.6,2.4,7.3,3.2,1.5,3.0,1.9,3.2,5.8,3.8,3.7,-0.6,8.0,-1.3,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
Eswatini,-3.8,6.9,1.4,-0.5,2.5,1.9,18.6,10.0,7.6,9.4,9.9,1.8,3.2,3.1,2.4,4.8,3.8,3.1,2.6,3.0,1.8,1.1,4.4,3.9,3.6,6.0,6.0,4.4,0.8,1.6,3.8,2.2,5.4,3.9,0.9,2.2,1.1,2.0,2.4,2.7,-1.6,7.9,0.5,2.8,3.4169565614501005,3.564842229203281,3.6002907066056453,3.6087877744367427,3.6108245378471073
Ethiopia,4.0,0.0,1.0,7.8,-2.3,-11.4,9.7,13.9,0.6,-0.5,2.6,-7.2,-8.9,13.4,3.5,6.1,13.5,2.8,-4.2,6.3,9.8,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10.0,10.6,11.4,8.7,9.9,10.3,10.4,8.0,10.2,7.7,9.0,6.1,6.3,6.4,6.1,5.900949472300486,5.953698953621367,5.920109550867927,5.802892277858251,5.782412263393571
Fiji,-1.7,6.0,-1.1,-4.2,10.1,-3.8,6.6,-7.2,3.5,13.9,5.8,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1.0,-1.4,3.0,2.7,1.4,4.7,5.6,4.5,2.4,5.4,3.8,-0.6,-17.0,-5.1,14.5,7.0,2.1636363636363636,2.1636363636363636,2.1636363636363636,2.1636363636363636,2.1636363636363636
Finland,5.7,1.3,3.1,3.1,3.2,3.5,2.7,3.6,5.2,5.1,0.2,-5.9,-3.3,-0.7,4.0,4.2,3.7,6.3,5.5,4.4,5.8,2.6,1.7,2.0,4.0,2.8,4.0,5.3,0.8,-8.1,3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.2,-2.4,3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
France,1.8,1.1,2.5,1.3,1.6,1.7,2.3,2.6,4.6,4.5,2.9,1.1,1.5,-0.7,2.4,2.3,1.4,2.3,3.6,3.3,4.1,1.9,1.2,0.8,2.6,1.7,2.6,2.4,0.2,-2.8,1.8,2.2,0.4,0.7,1.0,1.1,1.0,2.4,1.8,1.9,-7.9,6.8,2.6,0.7,1.4512529179985152,1.4512529179985152,1.4512529179985152,1.4512529179985152,1.4512529179985152
Gabon,0.0,-4.0,4.1,2.0,4.9,5.8,-2.1,-15.4,3.5,15.4,5.1,6.1,-3.1,3.9,3.7,5.0,3.6,5.7,3.5,-8.9,-1.9,2.1,0.2,1.7,1.1,-0.8,-1.9,6.3,1.7,-2.3,6.3,7.1,5.3,5.5,4.4,3.9,2.1,0.5,0.8,3.9,-1.9,1.5,2.8,3.0,3.2986669255160384,1.3279751248079152,2.1244047441041958,2.1244047441041958,2.1244047441041958
"Gambia, The",0.7,-9.5,20.8,13.5,-7.6,3.6,2.4,2.8,1.7,4.3,5.7,2.2,1.8,3.8,-3.4,3.3,2.9,1.4,6.5,6.4,5.5,5.8,-3.2,6.9,7.0,-2.4,-0.6,3.0,6.3,6.7,5.9,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.2,0.6,4.3,4.4,5.6,1.2698187113033452,3.2238230309084033,3.2238230309084033,3.2238230309084033,3.2238230309084033
Georgia,3.6500000000000004,3.0,1.8,2.4,4.2,3.6,3.6500000000000004,3.55,4.1,3.8,3.6,-21.1,-44.9,-29.3,-10.4,2.6,10.5,10.5,3.1,2.9,1.8,4.8,5.5,11.1,5.8,9.6,9.4,12.6,2.4,-3.7,6.2,7.4,6.4,3.6,4.4,3.0,2.9,4.8,4.8,5.0,-6.8,10.5,10.1,4.0,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001
Germany,1.3,0.1,-0.8,1.6,2.8,2.2,2.4,1.5,3.7,3.9,5.7,5.0,1.9,-1.0,2.4,1.5,0.8,1.8,2.0,1.9,2.9,1.7,-0.2,-0.7,1.2,0.7,3.8,3.0,1.0,-5.7,4.2,3.9,0.4,0.4,2.2,1.5,2.2,2.7,1.0,1.1,-3.7,2.6,1.8,-0.1,1.5590909090909093,1.5590909090909093,1.5590909090909093,1.5590909090909093,1.5590909090909093
Ghana,0.5,-3.8,-8.3,-6.2,9.4,6.4,6.2,6.7,6.5,4.5,3.6,4.8,4.5,4.8,3.5,4.2,4.8,5.8,5.0,4.5,3.6,3.8,4.6,5.1,5.4,6.2,5.8,4.1,9.0,5.7,7.8,13.9,8.4,7.2,2.9,2.1,3.4,8.1,6.2,6.5,0.5,5.4,3.2,1.6,2.8071989051726227,3.4771834802815356,3.849018915983561,4.0553842509186815,4.169915162644405
Greece,0.7,-1.6,-1.1,-1.1,2.0,2.5,0.5,-2.3,4.3,3.8,0.0,3.1,0.7,-1.6,2.0,2.1,2.9,4.5,3.9,3.1,3.9,4.1,3.9,5.8,5.1,0.6,5.7,3.3,-0.3,-4.3,-5.5,-10.1,-7.1,-2.5,0.5,-0.2,-0.5,1.1,1.7,1.9,-9.0,8.4,5.9,2.6,6.859217748339281,12.071030247752356,9.27078007456728,11.345688959408514,15.156010216565818
Grenada,15.1,1.4,4.1,3.3,4.0,6.0,7.4,9.1,2.9,3.8,4.2,1.4,-0.8,-2.0,1.8,2.2,4.4,4.9,11.8,7.0,5.1,-2.0,3.4,9.5,-0.6,13.3,-4.0,6.1,0.9,-6.6,-0.5,0.8,-1.2,2.4,7.3,6.4,3.7,4.4,4.4,0.7,-13.8,4.7,6.0,3.7,3.320454545454546,3.320454545454546,3.320454545454546,3.320454545454546,3.320454545454546
Guatemala,3.7,0.6,-3.5,-2.5,0.5,-0.6,0.1,3.6,3.9,3.9,3.1,3.0,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,4.2,2.6,3.0,3.1,5.6,6.0,3.7,0.6,2.8,4.4,3.1,3.5,4.4,4.1,2.7,3.1,3.4,4.0,-1.8,8.0,4.0,3.4,3.6685809400120393,3.6685809400120393,3.6685809400120393,3.6685809400120393,3.6685809400120393
Guinea,2.6,0.6,1.8,1.3,1.4,5.0,3.1,3.3,6.3,4.0,4.3,2.5,3.3,5.0,4.0,4.7,4.5,5.2,3.6,3.8,2.5,3.7,5.2,1.2,2.3,3.0,2.5,6.5,4.1,-1.5,4.2,5.6,5.9,3.9,3.7,3.8,10.8,10.3,6.4,5.6,4.9,4.3,4.3,5.6,5.6,5.6,5.6,5.6,5.6
Guinea-Bissau,2.45,-0.5,4.2,-3.4,5.5,4.3,-1.0,5.6,2.0,2.9,4.6,7.3,3.1,2.3,3.0,4.0,3.7,6.0,-22.4,16.8,1.1,4.8,3.7,-0.3,1.2,6.6,2.7,2.6,4.5,2.4,5.6,8.1,-1.7,3.3,1.0,6.1,5.3,4.8,3.8,4.5,1.5,6.4,3.5,4.5,1.8419736614568771,3.1073728100130644,3.1073728100130644,3.1073728100130644,3.1073728100130644
Guyana,-2.1,0.6,-8.9,-11.5,2.1,0.4,-0.2,-0.1,-6.0,-4.9,-3.0,6.0,7.8,8.2,8.5,5.1,8.0,6.2,-1.7,3.0,-1.3,2.3,1.1,-0.7,1.6,-1.9,5.1,7.0,2.0,3.3,4.4,5.4,5.0,3.7,1.7,0.7,3.8,3.7,4.4,5.4,43.5,20.1,62.3,37.2,71.4185875533436,56.04417407152652,82.13173487326293,73.55522462450494,93.9594332767848
Haiti,7.3,1.1,-2.8,-1.5,0.2,0.8,0.3,-0.4,0.6,-1.1,-0.4,1.3,-2.3,-4.9,-11.6,9.9,4.1,2.7,2.2,2.7,0.9,-0.3,1.1,3.5,-1.3,3.1,1.8,4.7,2.7,5.9,-5.7,5.1,0.5,4.3,1.7,2.6,1.8,2.5,1.7,-1.7,-3.3,-1.8,-1.7,0.3,-0.7102095134956425,-0.1999478829170912,-0.457683459708217,-0.327499993887876,-0.3932562817236476
Honduras,0.6,-1.2,-2.1,0.9,6.3,5.6,5.3,6.6,1.7,2.7,2.8,-3.3,6.1,6.5,0.2,6.2,1.9,4.6,3.6,-0.7,7.3,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,4.1,2.8,3.1,3.8,3.9,4.8,3.8,2.7,-9.0,12.5,4.0,3.7,3.3454545454545452,3.3454545454545452,3.3454545454545452,3.3454545454545452,3.3454545454545452
Hong Kong SAR,10.3,9.2,2.9,6.0,10.0,0.7,11.1,13.4,8.5,2.3,3.8,5.7,6.2,6.2,6.0,2.4,4.3,5.1,-5.9,2.5,7.7,0.6,1.7,3.1,8.7,7.4,7.0,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.7,-6.5,6.4,-3.5,3.5,1.3513589728140052,1.3513589728140052,1.3513589728140052,1.3513589728140052,1.3513589728140052
Hungary,0.2,2.9,2.8,0.7,2.7,-0.3,1.5,4.1,-0.1,0.7,-3.5,-11.9,-3.1,-0.6,2.9,2.5,0.1,3.1,3.9,3.1,4.5,4.1,4.7,4.1,5.0,4.3,3.9,0.3,1.0,-6.6,1.1,1.9,-1.3,1.8,4.2,3.7,2.2,4.3,5.4,4.9,-4.5,7.1,4.9,0.5,1.4585278099831027,2.008916550224467,2.008916550224467,2.008916550224467,2.008916550224467
Iceland,5.7,4.3,2.2,-2.2,4.1,3.3,6.3,8.5,-0.1,0.3,1.2,-0.2,-3.4,1.3,3.6,0.1,4.6,5.8,7.4,4.0,5.0,4.0,0.6,2.1,7.8,6.1,6.3,8.5,2.2,-7.7,-2.8,1.8,1.1,4.6,1.7,4.4,6.3,4.2,4.9,1.8,-7.2,4.3,6.4,2.3,2.4978506130334206,2.876141999099634,2.876141999099634,2.876141999099634,2.876141999099634
India,5.3,6.0,3.5,7.3,3.8,5.3,4.8,4.0,9.6,5.9,5.5,1.1,5.5,4.8,6.7,7.6,7.5,4.0,6.2,8.5,4.0,4.9,3.9,7.9,7.8,9.3,9.3,9.8,3.9,8.5,10.3,6.6,5.5,6.4,7.4,8.0,8.3,6.8,6.5,3.9,-5.8,9.1,6.8,5.9,5.773877858304123,4.79607000796936,5.188170347590002,5.376598486829885,5.456536567606243
Indonesia,9.9,7.6,2.2,4.2,7.6,3.9,7.2,6.6,7.0,9.1,9.0,8.9,6.5,8.0,7.5,8.2,7.8,4.7,-13.1,0.8,5.0,3.6,4.5,4.8,5.0,5.7,5.5,6.3,7.4,4.7,6.4,6.2,6.0,5.6,5.0,4.9,5.0,5.1,5.2,5.0,-2.1,3.7,5.3,5.0,5.0,5.0,5.0,5.0,5.0
Iran,-21.6,-5.7,23.2,11.1,-7.1,1.9,-9.8,-0.2,-6.1,6.1,13.6,12.7,3.3,-1.5,-1.7,2.4,6.4,1.4,2.1,2.0,5.8,2.4,8.1,8.6,4.3,3.2,5.0,8.2,0.3,1.0,5.8,2.6,-3.7,-1.5,5.0,-1.4,8.8,2.8,-1.8,-3.1,3.3,4.7,2.5,2.0,3.5258843913315205,3.855153449157623,3.0465813552382817,2.7316296910133335,2.7316296910133335
Iraq,3.6,3.1,2.6,4.8,5.2,1.9,3.6,2.7,3.6,1.4,7.4,3.4499999999999997,7.699999999999999,4.2,5.25,5.550000000000001,3.6,3.75,3.8,24.8,-4.3,-6.6,-7.8,81.8,53.4,1.7,5.6,1.9,8.2,3.4,6.4,7.5,13.9,7.6,0.7,2.5,15.2,-3.4,4.7,5.8,-15.7,7.7,8.1,3.7,3.7,3.7,3.7,3.7,3.7
Ireland,2.9,2.5,1.5,-0.7,3.2,1.9,0.4,3.6,3.0,5.6,7.7,1.6,3.6,2.3,5.9,9.6,9.1,10.7,8.8,10.5,9.4,5.3,5.9,3.0,6.8,5.7,5.0,5.3,-4.5,-5.1,1.7,0.8,0.0,1.1,8.6,24.4,2.0,9.0,8.5,5.4,6.2,13.6,12.0,5.6,8.56559181447793,8.56559181447793,8.56559181447793,8.56559181447793,8.56559181447793
Israel,3.6,4.7,1.4,2.6,2.2,4.5,3.6,7.5,3.6,1.4,6.6,4.6,7.2,3.8,7.0,9.7,5.9,3.8,4.1,3.3,8.7,0.3,-0.1,1.4,4.8,4.1,5.6,6.0,3.3,0.9,5.7,5.6,2.6,4.4,3.9,2.5,4.5,4.3,4.1,4.2,-1.9,8.6,6.4,2.9,3.7702503608626583,3.5027395588852643,5.61275273810039,4.766546814604465,3.736824210281808
Italy,3.1,0.6,0.2,0.9,3.0,2.6,2.7,3.1,4.0,3.3,2.0,1.4,0.7,-0.8,2.1,2.7,1.3,1.8,1.8,1.6,3.8,2.0,0.3,0.1,1.4,0.8,1.8,1.5,-1.0,-5.3,1.7,0.7,-3.0,-1.8,0.0,0.8,1.3,1.7,0.9,0.5,-9.0,7.0,3.7,0.7,0.6412291361673904,0.6412291361673904,0.6412291361673904,0.6412291361673904,0.6412291361673904
Jamaica,-4.0,4.4,3.1,4.2,0.9,-0.9,7.0,7.7,-4.0,4.7,4.9,0.8,2.8,2.2,1.9,2.5,0.2,-1.6,-1.2,1.0,0.8,1.3,0.7,3.7,1.3,0.9,2.9,1.4,-0.8,-3.4,-1.4,1.4,-0.5,0.2,0.6,0.9,1.5,0.7,1.8,1.0,-9.9,4.6,4.0,2.2,-0.6448795465313921,0.33122948255073825,1.0703242080809767,0.6590124580497128,0.49015849798738725
Japan,3.2,4.2,3.3,3.5,4.5,5.2,3.3,4.7,6.8,4.9,4.9,3.4,0.8,-0.5,0.9,2.6,3.1,1.0,-1.3,-0.3,2.8,0.4,0.0,1.5,2.2,1.8,1.4,1.5,-1.2,-5.7,4.1,0.0,1.4,2.0,0.3,1.6,0.8,1.7,0.6,-0.4,-4.3,2.1,1.1,1.3,0.5741357972578335,0.5741357972578335,0.5741357972578335,0.5741357972578335,0.5741357972578335
Jordan,11.1,15.0,5.8,1.4,5.5,-1.1,5.9,2.7,2.9,-10.7,-1.6,-5.7,16.9,4.4,5.0,6.0,1.9,3.7,3.2,3.2,4.2,5.0,6.6,4.0,8.3,8.8,8.5,8.4,7.4,5.0,2.3,2.7,2.4,2.6,3.4,2.5,2.0,2.5,1.9,1.9,-1.6,2.2,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Kazakhstan,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,-9.2,-12.6,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,5.0,5.9,4.3,1.0,0.9,3.9,4.1,4.5,-2.6,4.1,3.2,4.3,5.399999999995992,6.499999999991984,7.599999999987976,8.69999999998397,9.799999999979962
Kenya,5.6,4.1,5.1,1.6,1.6,4.1,7.0,5.8,6.1,4.6,4.1,1.3,-1.1,-0.1,2.5,4.3,4.5,0.4,3.0,2.2,0.3,4.0,0.5,2.9,4.6,5.7,5.9,6.9,0.2,3.3,8.1,5.1,4.6,3.8,5.0,5.0,4.2,3.8,5.7,5.1,-0.3,7.5,5.4,5.3,4.612145078955472,4.338480792083065,4.338480792083065,4.338480792083065,4.338480792083065
Kiribati,0.1,0.2,0.7,-2.7,2.4,-4.5,1.0,0.4,9.1,-3.1,-1.3,0.1,1.3,1.0,1.8,-0.1,1.1,2.0,6.9,-1.8,6.0,-1.4,4.0,2.0,-1.6,5.0,0.0,2.0,-2.1,0.8,-1.1,1.8,5.1,4.2,-1.1,9.9,-0.5,-0.1,5.3,-2.1,-1.4,7.9,1.2,2.5,1.768021900370981,2.0340617991510053,1.9373687044002788,1.972512134447227,1.9597391367616248
"Korea, Republic of",-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6,1.5,2.9601240770206463,3.1345733932795117,3.2955792449267376,3.4441776161933904,3.581324655988465
Kosovo,3.3,2.9,3.9,3.0,4.6,-0.1,2.4,4.1,-0.1,-0.5,-5.6,-11.350000000000001,-8.8,-8.0,2.2,2.2,3.6,3.1,3.3499999999999996,-0.15000000000000002,4.5,4.6,-0.4,2.6,0.6,4.5,3.6,8.3,1.8,5.0,4.9,6.3,1.7,5.3,3.3,5.9,5.6,4.8,3.4,4.8,-5.3,10.7,2.7,3.5,3.0920455209284654,3.3000790921716234,3.1939938081892567,3.2480912666444843,3.2205046410404887
Kuwait,-20.4,-18.9,-9.5,5.3,5.2,-4.3,8.6,8.1,-10.0,25.9,-26.2,-41.0,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3.0,17.3,10.8,10.1,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,1.2,0.5,0.6,2.9,-4.7,2.4,-0.6,-8.9,1.3,8.2,0.9,2.3720129042035234,5.118869491151849,3.3103174660737125,3.3103174660737125,3.3103174660737125
Kyrgyz Republic,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,-13.0,-19.8,-5.4,7.1,9.9,2.1,3.7,5.4,5.3,0.0,7.0,7.0,-0.2,3.1,8.5,7.6,2.9,-0.5,6.0,-0.1,10.9,4.0,3.9,4.3,4.7,3.5,4.6,-8.6,3.7,7.0,3.5,3.5,3.5,3.5,3.5,3.5
Lao P.D.R.,10.0,15.3,4.7,3.0,6.4,9.1,4.8,-1.0,-2.1,9.9,6.7,4.0,7.0,5.9,8.2,7.0,6.9,6.9,4.3,4.0,6.4,4.8,6.8,6.2,7.2,6.9,9.0,7.9,7.8,7.4,8.0,8.0,7.8,8.0,7.6,7.3,7.0,6.9,6.3,4.7,-0.4,2.1,2.3,4.0,3.202768672786936,3.202768672786936,3.202768672786936,3.202768672786936,3.202768672786936
Latvia,3.3,2.9,3.9,3.0,4.6,-0.1,2.4,4.1,-0.1,-0.5,-5.6,-11.350000000000001,-8.8,-11.4,2.2,-2.1,2.6,8.8,6.3,2.8,5.7,6.3,7.1,8.4,8.3,10.7,12.0,9.9,-3.2,-14.3,-4.5,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,2.6,-2.2,4.1,2.0,0.4,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999
Lebanon,1.5,0.5,-36.8,22.7,44.5,24.3,-6.8,16.7,-28.2,-42.2,-13.4,38.2,4.5,7.0,8.0,6.5,4.0,10.2,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,0.7,1.5,9.3,9.1,10.2,8.0,0.9,2.6,3.8,2.5,0.5,1.6,0.9,-1.9,-6.9,-25.9,3.9,5.6,2.7,0.817364464880635,0.0,0.0,0.0,0.0
Lesotho,-0.8,3.1,5.6,3.0,4.3,3.3,4.1,2.1,7.7,5.5,5.2,4.8,6.2,3.8,4.5,2.8,4.9,3.5,1.4,1.6,4.9,3.3,1.6,4.1,2.4,3.1,4.4,5.0,3.8,0.4,5.1,5.1,5.1,1.8,2.1,3.2,1.9,-2.7,-1.3,-2.0,-3.9,2.1,2.1,2.2,3.4906698004119447,6.596958296466262,6.5795359886551354,7.6558696115344755,9.4450458279024
Liberia,2.45,2.5,1.8,1.4,3.7,4.3,3.1,2.7,4.4,3.8,3.2,2.1,1.6,2.4,2.75,4.0,4.5,4.300000000000001,3.6500000000000004,3.2,3.5,2.8,4.4,-29.0,4.0,5.9,8.5,13.1,6.1,5.2,6.4,7.7,8.4,8.8,0.7,0.0,-1.6,2.5,1.2,-2.5,-3.0,5.0,4.8,4.3,4.6154871252904,4.5577404151011365,4.517766198532589,4.552412484148141,4.542700359213934
Libya,0.6,-20.0,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,18.3,-4.5,-5.5,3.2,-15.4,1.8,-2.6,-0.7,-0.2,4.0,2.6,-3.7,16.1,5.8,10.6,0.3,6.2,-0.2,-4.4,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.5,28.3,-12.8,17.5,-7.97662473781989,0.0,0.0,0.0,0.0
Lithuania,3.3,2.9,3.9,3.0,4.6,-0.1,2.4,4.1,-0.1,-0.5,-5.6,-11.350000000000001,-8.8,-8.0,2.2,2.2,5.2,8.3,7.5,-1.1,3.7,6.5,6.8,10.6,6.6,7.7,7.4,11.1,2.6,-14.8,1.7,6.0,3.8,3.6,3.5,2.0,2.5,4.3,4.0,4.6,0.0,6.0,1.9,-0.3,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004
Luxembourg,3.2,0.8,1.0,1.9,4.7,5.6,10.0,4.0,8.5,9.8,5.3,8.6,1.8,4.2,3.8,1.4,1.5,5.9,6.5,8.4,8.4,3.1,3.2,2.6,4.2,2.5,6.0,8.1,-0.3,-3.2,3.8,1.0,1.6,3.2,2.6,2.3,5.0,1.3,1.2,2.3,-0.8,5.1,1.5,1.1,2.7345186444768457,3.3250092094164128,3.538331405807907,3.6153967514293885,3.6432375837301154
Macao SAR,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,4.2,5.45,5.85,5.3,5.15,3.6,3.8,6.2,3.9,8.9,11.6,26.6,8.1,13.4,14.5,3.4,1.3,25.1,21.6,9.2,10.8,-2.0,-21.5,-0.7,10.0,6.5,-2.5,-54.2,19.3,-26.8,58.9,-10.65411661607586,45.796001683138606,-0.018912099531647186,37.164470117449774,6.986438578359376
Madagascar,0.8,-9.8,-1.9,0.9,1.8,1.2,2.0,1.2,3.4,4.1,3.1,-6.3,1.2,2.1,0.0,1.7,2.2,3.7,3.9,4.7,4.5,6.0,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4.0,0.6,1.6,3.0,2.3,3.3,3.1,4.0,3.9,3.2,4.4,-7.1,5.7,4.2,4.2,2.004545454545455,2.004545454545455,2.004545454545455,2.004545454545455,2.004545454545455
Malawi,0.4,-5.2,2.5,3.7,5.4,4.6,-0.2,1.6,3.2,1.3,5.7,8.7,-7.3,9.7,-10.3,13.8,10.0,6.6,1.1,3.5,0.8,-4.1,1.8,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,5.2,5.7,3.0,2.3,4.0,4.4,5.4,0.9,4.6,0.8,2.4,3.506818181818182,3.506818181818182,3.506818181818182,3.506818181818182,3.506818181818182
Malaysia,7.4,6.9,5.9,6.3,7.8,-0.9,1.2,5.4,9.9,9.1,9.0,9.5,8.9,9.9,9.2,9.8,10.0,7.3,-7.4,6.1,8.7,0.5,5.4,5.8,6.8,5.0,5.6,6.3,4.8,-1.5,7.5,5.3,5.5,4.7,6.0,5.0,4.4,5.8,4.8,4.4,-5.5,3.1,8.7,4.5,4.501562881922637,4.501562881922637,4.501562881922637,4.501562881922637,4.501562881922637
Maldives,18.8,7.9,7.5,4.4,17.4,13.8,8.6,8.9,8.7,9.3,-4.0,6.9,6.5,5.4,7.5,7.4,9.1,10.4,9.8,7.2,4.8,3.5,6.1,25.4,6.0,-13.1,26.1,7.7,9.5,-7.2,7.3,8.6,2.5,7.3,7.3,2.9,6.3,7.2,8.1,6.9,-33.4,41.7,12.3,7.2,-5.229868685005737,12.57328918575708,10.002849150053292,7.129714811618204,4.52848145369105
Mali,3.3,-4.5,-11.6,3.2,2.4,3.2,6.1,2.5,0.1,10.7,9.3,7.7,-1.6,3.6,3.8,3.0,7.3,4.8,2.9,6.2,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.7,5.4,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8,-1.2,3.1,3.7,5.0,3.872727272727273,3.872727272727273,3.872727272727273,3.872727272727273,3.872727272727273
Malta,7.0,2.7,0.1,2.6,0.8,2.4,3.8,5.7,6.8,7.1,4.7,5.9,8.1,3.9,4.6,6.9,4.0,4.8,3.4,3.8,-1.0,-1.2,2.6,4.1,0.1,3.4,2.5,4.8,3.8,-1.1,5.5,0.5,4.1,5.5,7.6,9.6,3.4,10.9,6.2,7.0,-8.6,11.8,6.9,3.5,0.4084303671791072,7.501577747918647,4.842101779972467,3.992912555506212,3.2424671415714763
